,,,,L,,332103,4852097209 4852097211 4852097233 4852097210 4852097214 4852097234,,,,,
,SIRION/STORIA,98/01 -00,"M100(1.0, 2WD) chassis No.M100 - 538945",R,,332104,4851097202 4851097231 4851097240 4851097241 4851097249,,442038,,4853197201 4853197202 4853197205 4853197206 4853197226,
,,,,L,,332105,4851097202 4852097231 4852097240 4852097241 4852097249,,,,,
,,98/01 -00,"M100(1.0, 2WD) chassis No.M100 - 538945",R,,332104,4851097202 4851097231 4851097240 4851097241 4851097249,,,342022,4853197227 4853197231 4853197236 4853197238,
,,,,L,,332105,4851097202 4852097231 4852097240 4852097241 4852097249,,,,,
,,00-,"M100(1.0, 2WD) chassis No.M100 - 538946 , M101 (1.3, 2WD)",R,,332110,4851097422 4851097424 4851097428,,,342022,4853197235 4853197403 4853197409 4853197410,
,,,,L,,332111,4851097422 4852097424 4852097428,,,,,
,,98/04-00,"M110(1.0, 4WD) chassis No.M110 - 542039",R,,332104,4851097203 4851097204 4851097242 4851097243 4851097245 4851097248,,,342023,4853197203 4853197204 4853197228 4853197237,
,,,,L,,332105,4852097203 4852097204 4852097242 4852097243 4852097245 4852097248,,,,,
,,00-,"M11011.0, 4WD) chassis No.M110 -542040 , M11111.3, 4WD)",R,,332110,4851097423 4851097425,,,342023,4853197237 4853197402,
,,,,L,,332111,4852097423 4852097425,,,,,
,SIRION/STORIA/BOON,04/05-,"M300/M301 (2WD) 1.0, 1.3, 1.3S",,,332120,48510B1040 48510B1040A,,,343406,48531B1040 48531B1040A,
,,04/05-,"M310(4WD) 1.0, 1.3, 1.3S",,,332120,48510B1040 48510B1040A,,,343447,48531B1020 48531B1020B 48531B1020C,
,YRV,10-,"M200(1.0, 2WD), M200 (1.3, 2WD)",R,,332110,4851097403 4851097405 4851097433 4851097435,,,342022,4853197414 4853197416 4853197419 4853197420,
,,,,L,,332111,4852097403 4852097405 4852097433 4852097435,,,,,
,,10-,"M2H (1.3, 4WD)",R,,332110,4851097411 4851097436,,,342023,4853197411 4853197424,
,,,,L,,332111,4852097411 4852097436,,,,,
,CHARADE,78/06-79/08,G10,R,,,4851087706 4851087707,,441037,341013,4853087702 4853087703 4853087706 4853087707,
,,,,L,,,4852087706 4852087707,,,,,
,,79/08-83/01,G10,R,633012,,4851087709 4851087710 4851087711 4851087712 4851087713 4851087714,,441037,341013,4853087706 4853087707 4853087708 4853087709,
,,,,L,633013,,4852087709 4852087710 4852087711 4852087712 4852087713 4852087714,,,,,
,,83/01 -86,"GH (GASOLINE), G30(DIESEL)",R,632028,,4851087715 4851087716 4851087717,,442027,,4853087710 4853087712 4853087713 4853087714,
,,,,L,632029,,4852087715 4852087716 4852087717,,,,,
,,87/01-93/02,"G100 except Turbo, GT-ti G101incl.Turbo G102 except Sedan, R-Grade Package",R,632044,332043,4851087719 4851087723 4851087724 4851087725 4851087726 4851087728,R,632089,332066,4853087717 4853087718 4853087721 4853087729 4853087736 4853087737 4853087739,
,,,,L,632045,332044,4852087719 4852087723 4852087724 4852087725 4852087726 4852087728,L,632090,332067,4854087703 4854087704 4854087707 4854087715 4854087722 4854087723 4854087725,
,,87/01 -93/02,G100 GT-ti,R,,332043,4851087718 4851087722,R,,332045,4853087719 4853087730,
,,,,L,,332044,4851087722 4852087718,L,,332046,4854087705 4854087716,
,,87/01 -93/02,G100 Turbo except GT-ti G102 with R-Grade Package,R,,332043,4851087722,R,,332066,4853087720 4853087738,
,,,,L,,332044,4852087722,L,,332067,4854087706 4854087724,
,,89/03-93/02,G102 Sedan,R,632044,332043,4851087728,R,633131,333153,4853087733,
,,,,L,632045,332044,4852087728,L,633132,333154,4854087719,
,,93/03-96/06,"G200, G202, G203",R,632101,332078,4851087733 4851087745 4851087750 4851087751,R,633175,333199,4853087757 4853087758 4853087761 4853087762,
,,,,L,632102,332079,4852087733 4852087745 4852087750 4852087751,L,633176,333200,4854087743 4854087744 4854087747 4854087748,
,,93/03-,G201 (1.6GTi),R,,332078,4851087741,R,,333199,4853087759,
,,,,L,,332079,4852087741,L,,333200,4854087745,
,,96/06-,"G200, G202, G203",R,,333244,4851087756 4851087757 4851087760 4851087761,R,,333246,4853087765 4853087766 4853087768 4853087777 4853087779,
,,,,L,,333245,4852087756 4852087757 4852087760 4852087761,L,,333247,4854087751 4854087752 4854087754 4854087763 4854087765,
,GRAN MOVE/PHAYSER,95/08-,G301/G303(2WD)incl. With ABS,R,,333244,4851087752 4851087753 4851087766 4851087767,R,,333246,4853087750 4853087766 4853087768 4853087772 4853087774,
,,,,L,,333245,4851087753 4852087752 4852087766 4852087767,L,,333247,4854087736 4854087752 4854087754 4854087758 4854087760,
,TERIOS,97/03-,J103(2WD) incl. With ABS,R,,,4851087401 4851087402,,,342024,4853087401,
,,,,L,,,4852087401 4852087402,,,,,
,,98/09-,ALL,R,,,4851087413,,,343483,4853087404,
,,,,L,,,4852087413,,,,,
,TERIOS/BE-GO,06/05-,J2##,,,333496,48510B4020 48510B4050 48510B4080,,,343441,48531B4010 48531B4030 48531B4050,
,TARUNA,99-,F500RV 1.6L,R,,,4851087Z22,,,344494,4853087Z13 4853087Z16 4853087Z18,
,,,,L,,,4852087Z20,,,,,
,CONSORTE,69/04-71/12,"U/KP30, 31, 36V",,663051,,4851010010 4851010011 4851010020 4851010021 4852010010 4852010011 4852010020 4852010021,,442043,,4853019085 4853110041 4853110050 4853119075 4853119076 4853119086,
,,72/01 -78,"KP30, 31",,663027,,4851010012 4852010012,,443095,,4853110043 4853119077,
,,72/01 -78,"KP31, 50",,,,4851010032 4852010032,,443095,,4853110062 4853119196,
,,73/04-78,"KP40, 42, 45, 47, 51",,663028,,4851010040 4851010050,,443097,553054,4853119033 4853119108,
,CHARMANT,74/11-81/09,"A10, 20, 30, 40",,663031,363018,4851012021 4851012022 4851012032 4851087103,,443097,553054,4853087190 4853119108 4853187180 4853187181,
,,74/11-81/09,"A10V, 20V (VAN)",,663031,363018,4851012021 4851012022 4851012032,,443065,,4853119115,
,,79/08-81/09,"A30V, 40V (VAN)",,663031,363018,4851012021 4851012022 4851012032,,,,4853187103 4853187182,
,,81/10-83/08,"A35, 55",,663032,363023,4851012200 4851112100 4851112130 4851112140 4851112150 4852012080,,443099,343036 553056,4853112260 485318705 4853187183 4853187184 4853187185,
,,83/08-88,"A35, 45, 60",,665022,365015,4851012280 4851112110 4851112180 4852012150,,443099,343036 553056,4853087185 4853112260 485318705 4853187183 4853187184,
,APPLAUSE,89/06-97/09,A101,R,,333170,4851087104 4851087105 4851087108 4851087109,R,,333217,4853087101 4853087102 4853087103 4853087110 4853087112,
,,,,L,,333171,4852087101 4852087102 4852087105 4852087106,L,,333218,4854087101 4854087102 4854087103 4854087110 4854087112,
,,89/06-97/09,A101,R,,333170,4851087106 4851087111 4851087114 4851087117 4851087118,R,,333172,4853087104 4853087107 4853087109 4853087116 4853087118,
,,,,L,,333171,4852087103 4852087108 4852087111 4852087114 4852087115,L,,333173,4854087104 4854087107 4854087109 4854087116 4854087118,
,,90/10-97/09,A101,R,,333170,4851087113 4851087116,R,,333168,4853087115 4853087117 4853087120,
,,,,L,,333171,4852087110 4852087113,L,,333169,4854087115 4854087117 4854087120,
,,89/06-97/09,A111 (4WD),R,,333170,4851087107 4851087110 4851087112 4851087115,R,,333174,4853087105 4853087108,
,,,,L,,333171,4852087104 4852087107 4852087109 4852087112,L,,333175,4854087105 4854087108,
,TAFT,74-78,"F30P, F30V, F40, F40K",,,,,,443358,553301,4001643100 4001643101 4151643100,
,,74/08-78/07,"F10, 20Series",,443149,343213 553247,4851087601 4851087602,,443066,343121 553100,4853087601 4853087602,
,,78/08-84/03,"F20V, 50V",,443152,,4851087603 4851187603,,443150,553143,4853087603,
,,79/11 -84,"F25, 55",,443152,,4851087603 4851187603,,443151,343339,4853087605,
,,82/10-84,F60,,443177,553145,4851087605,,443150,553143,4853087606,
,ROCKY/WILD CAT/FOUR TRACK,84/04 -93/04,"F70, F75",,,343186 553113,4851087606 4851087608 4851087680 4851087682 4851187680 9996301256257,,,343186 553113,4853087607 4853087609 4853087680 4853087682 4853187607 9996302256257,
,,84/08-93/04,"F77, F87(Pick Up)",,,343186 553113,4851087606 4851087608 4851087680 4851087682 4851187680,,443151,343339 553096,4853087605,
,,93/05-,"F73, F78",,,344257 554089,4851087625,,,344258 554090,4853087616 4853087627,
,FEROZA,88/10-,F300,,,344105 554063,4851087610 4851087614 4851087616 4851087619,,,343238 553156,4853087613 4853087618 4853087623 4853087686 4853087688 4853087692,
,,92/05-,F310,,,344105 554063,4851087610 4851087614 4851087616 4851087619,,,343275 553196,4853087265,
,HIJET,60-67,"S35, 36, L35",,,,25216331,,442044,,23116431 24216431,
,,67-68,S50,,,,41716331,,443357,553095,41716431,
,,68-75/12,S37 (Except VAN),,442019,,27136331,,,,27116431,
,,68-75/12,S37V(VAN),,442019,,27136331,,,,27136431,
,,71/09-81/08,"S38, 40Series (Include VAN)",,442019,,4851087501,,442020,,4853087501 4853087502,
,,77/04-81/03,S60Series,,443242,,4851087503 4851087504,,442020,,4853087501 4853087502,
,,77/04-81/03,"S60Series Separate Box, Low Deck",,443242,,4851087503 4851087504,,443307,553014,4853087503,
,,81/04-82/03,S65Series,,,,4851087505 4851087506 4851087507 4852087501 4852087502 4852087503,,443307,553014,4853087506,
,,82/03-83/10,S65Series,,663064,,4851087510 4851087512 4852087506 4852087508,,442020,,4853087504 4853087505,
,,82/03-86/05,S70,,663065,,4851087513 4851087519 4851087531 4852087509 4852087514 4852087528,,443194,,4853087510 4853087511,
,,86/05-90/04,"S81P/V, S86RP",R,633117,,4851087543 4851087544 4851087547,,443307,553014,4853087528 4853187531,
,,,,L,633118,,4852087539 4852087540 4852087541,,,,,
,,,PERODUA RUSA,,,,4851087Z06 4852087Z05,,443149,,48530-87Z03,
,,86/05-90/04,"S80V, S84RP",,663066,,4851087538 4852087535 48510875401) 48520875371),,443404,,4853087538,
,,86/05-90/04,"S80V, S84RP",,,,4851087538 4852087535 48510875401) 48520875371),,443404,,4853087538,
,DELTA,64-70,"SV10, 15",,443100,553058,42016331 4851087302,,,,42016431,
,,64-70,"SV20, 22, 24",,444025,344063 553058,56156331,,,,51016431,
,,64-70,"SV22, 24(T), SV20, 22, 24",,444025,553058,42216331 56156331,,444225,,42216431 4853087303,
,,65-70,"DV30, 34 (L)",,444005,,5111633100,,,,51016431,
,,66-70,"DV30, 34(D)",,444005,,5111633100,,,,41116431,
,,68-70,SV15,,443100,553058,42016331 4851087302,,443081,,42036431 4853087304,
,,70/10-77/08,"DV20, 22, 24, 34 (L)",,444025,,5103633100,,,,41116431,
,,70/10-77/08,"DV21, 23, 26, 24 (L) (TANK LORRY)",,,344315,4851087301 4851187301,,,,4853087302,
,,70/10-77/08,"DV21, 23, 26, 24 (T, D) (DAMP) (HIGH FLOOR TYPE)",,,344315,4851087301 4851187301,,,,4853087301 4853187301,
,,70/10-77/08,"DV21, 23, 24 (M) (TRUCK MIXER)",,,344315,4851087301 4851187301,,444025,344063 553058,4853087305 4853187305,
,,70/10-77/08,"KD10, 11 (DELTA750)",,443334,553057,4850027010 4850029025 4850029075,,443100,343125 553058,4853127010 4853127011 4853129165 4853129166,
,,70/10-77/08,SV16N,,443100,343125 553058,4851087302,,,,4853087301 4853187301,
,,70/10-77/08,"SV16T, 14 4T, W) (DOUBLE CABDHIGH FLOOR TYPE)",,443100,553058,4851087302 4851087303,,443081,553266,4853087304 4853087306,
,,70/10-77/08,"SV17, 14(L, LL) (LONG BODY)",,443100,343125 553058,4851087302 4851087303,,,,4853087307,
,,70/10-77/08,"SV21, 23, 244T, E, W4 {NIGHT SOIL VEHICLE, DOUBLE CAB4 4GIGH FLOOR TYPE)",,,344315,4851087301 4851187301,,444225,344316,4853087303,
,,70/10-77/08,SV23T,,443100,343125 553058,4851087302,,444225,344316,4853087309,
,,77/08-84/09,"V10T, V57, 78, 98",,444064,,4851087305 4851087306 4851087307 4851087308 4851187305E,,444061,,4853087310 4853087319 4853187310F 4853187319,
,,77/08-84/09,"V76, 79, 99",,444064,,4851087308,,444080,,4853087311 4853187311D,
,,84/09-,V69R-MU,,,,,,444179,,4853087318 4853187318,
,,84/09-,"V57, 94 (Low Deck, Low Deck Dump)",,444064,,4851087307 4851187307A,,444175,,4853087312 4853187312D,
,,84/09-,"V75, 79, 94 (Special Chassis, Low Deck)",,444064,,4851087307,,444174,,4853087317 4853187317,
,,84/09-,V75,,444064,,4851087308,,444173,,4853087315 4853187315,
,HILINE,62~68,"F100, 108",,,,41216331,,443151,343339 553096,41216431,
,,62~68,F100V,,,,41216331,,443357,343375 553095,41236431,
,,62~70,"F110, 118",,443242,,42516331,,443151,343339 553096,42516431,
,,64~70,V200,,444025,344063 553058,42216331 56156331,,,,,
,,70/10-77/08,DV20,,444025,,5103633100,,,,,
HINO,BUS,62-77/07,"RE-PSeries(AIR SUS.), RVSeries(HIGH SPEED TOURING BUS)",,445046,,604148020,,,,604148030,
,,62-77/07,"RESeries(LEAF SPRING), RDSeries",,446001,,603177080,,447001,,485301140A 485301190 603177070 603177090,
,,63-68,RC100Series (DX.SIGHT-SEEING),,445045,,603177100,,,,603177060,
,,66-76/02,BM320RAINB0W (LIGHT-BUS) )Middle Size),,444060,344331,630148001,,445044,,603177110,
,,66-75,"RLSeries, RMSeies (Middle Size)",,445044,,603177110,,446001,,603177080,
,,68-78/03,RC300Series (DX.SIGHT-SEEING),,446001,,603177080,,447001,,485301320 485307707 603177070,
,,79/09-,RL300,,445046,,485001200 485001200A,,,,485001120,
,,79/09-,RV531,,,,,,446026,,485301270 485301270B 485301591 485301591A,
,,80/01 -,RB,,,,485001040,,447001,,485301190 485301190A,
,,82/06-,RC421,,444201,,485001510,,,,485301200B 485301451A,
,,83/12-,RC520P,,445048,,485001110 485001110A 485001111 485001111A,,,,,
,,83/12-,REP,,445046,,485001080A 485001081 485001081A 485002160 485002160A,,,,,
,,83/12-88,"RR170B, 172B, 192B",,446006,,485001100 485001100A 485001350A,,,,,
,,,BX,,,,,,446005,,485301250A,
,,82/06-90,RU606BA,,445050,,485001752 485001752A,,,,,
,,87-91,RH160AA,,445050,,485002000 485002000A,,,,,
,,-88,RJ170CA,,445050,,485002030 485002030A,,,,,
,,-88,RJ172BA,,445048,,485001891 485001891A,,,,,
,,88-91,RJ172CA,,445048,,485001892 485001892A,,,,,
,,88-91,RR172,,445048,,485001870 485001870B,,,,,
,,88-91,RR172A,,,,485001400A,,446022,,485301380A,
,,91-,"LRWIKRA, LCM, LRM",,446021,,485002342A,,,,,
,RANGER TRUCK,,,,445044,,485001060A,,,,,
,,,KR301,,,,,,446050,,485301050 485301051,
,,64~70,"KMSeries, KL300Series All",,444197,344326 553280,6031771301 6031771320,,446001,,603177080,
