DAIHATSU,CHARADE,"G100S(TX,CX,Turbo CX),G101S(TX,CX)",87/11~,"L A1059","L B1059",48520-87726,"L A1077","L B1077",48540-87703
DAIHATSU,CHARADE,G102S,88/02~,"R A1058","R B1058",48510-87724,"R A1074","R B1074",48530-87718
DAIHATSU,CHARADE,G102S,88/02~,"L A1059","L B1059",48520-87724,"L A1075","L B1075",48540-87704
DAIHATSU,CHARADE,G112S(4WD),88/02~,"L A1071","L B1071",48520-87721,"L A1073","L B1073",48540-87709
DAIHATSU,CHARADE,G112S(4WD),88/02~,"R A1070","R B1070",48510-87721,"R A1072","R B1072",48530-87723
DAIHATSU,CHARADE,"G100,101(KISA)",90/11~,"R A1058","R B1058",48510-87725,R,R,48530-87736
DAIHATSU,CHARADE,"G100,101(KISA)",90/11~,"L A1059","L B1059",48520-87725,L,L,48540-87722
DAIHATSU,CHARADE,"G100,101(TD,WILL,CD)",90/11~,"L A1059","L B1059",48520-87725,L,L,48540-87725
DAIHATSU,CHARADE,"G100,101(TD,WILL,CD)",90/11~,"R A1058","R B1058",48510-87725,R,R,48530-87739
DAIHATSU,CHARADE,"G102 KISA",90/11~,"L A1059","L B1059",48520-87724,L,L,48540-87723
DAIHATSU,CHARADE,"G102 KISA",90/11~,"R A1058","R B1058",48510-87724,R,R,48530-87737
DAIHATSU,CHARADE,G112,90/11~97/09,"L A1071","L B1071",48520-87721,"L A1073","L B1073",48540-87709
DAIHATSU,CHARADE,G112,90/11~97/09,"R A1070","R B1070",48510-87721,"R A1072","R B1072",48530-87723
DAIHATSU,DELTA,"DV21,23,26(M)(Mixer)",70~77/08,3261,,48510-87301,3037,E3435,48530-87305
DAIHATSU,DELTA,"DV21,23,26(M)(Mixer)",70~77/08,3261,,48510-87301,3037,EL3037,48530-87305
DAIHATSU,DELTA,"SV16T,17(T/W)(High Floor/Double Cab)",70~77/08,2518,,"48510-87302 48510-87303",,,"48530-87304 48530-87306"
DAIHATSU,DELTA,"V10,11,13,17,20,23,24,30,31,33,34,40,47,54",77/08~84/09,3318,,"48510-87305 48510-87306 48510-87307 48510-87308",3271,,48530-87310
DAIHATSU,DELTA,"V12,18,32,42,48",77/08~84/09,3318,,"48510-87305 48510-48510-87307 48510-87308",3272,,48530-87311
DAIHATSU,DELTA,"V15,25,26,35,36,56",77/08~84/09,3318,,"48510-87305 48510-87306 48510-87307 48510-87308",3319,,48530-87312
DAIHATSU,DELTA,"SL17L(Long Body),SV18L(Long Body)",77~77/08,2518,,"48510-87302 48510-87303",3235,,48530-87307
DAIHATSU,DELTA,"V57,78,98(Single Tire,Special Chassis)",84/09~,3318,,"48510-87307 48510-87308",3271,,48530-87310
DAIHATSU,DELTA,"V57,98(Low Deck,Low Deck Dump)",84/09~,3318,,48510-87307,3319,,48530-87312
DAIHATSU,DELTA,"V75(High Floor 3-side Opening,standart Dump)",84/09~,3318,,"48510-87307 48510-87308",3464,,48530-87315
DAIHATSU,DELTA,"V75,79,99(Special Chassis,Low Deck)",84/09~,3318,,"48510-87307 48510-87308",,,48530-87317
DAIHATSU,DELTA,"V78,98(Double Tire,Excl.Low Deck,Special Chassis)",84/09~,3318,,48510-87307,3271,,48530-87319
DAIHATSU,DELTA,"V79(High Floor 3-side Opening),V99(Excl.Low Deck),V76",84/09~,3318,,"48510-87307 48510-87308",3272,,48530-87311
DAIHATSU,HIJET,"S38,40",71/09~81/08,1049,,"48510-87501 48510-87502",1123,,"48530-87501 48530-87502"
DAIHATSU,HIJET,S60,77/03~78/02,2510,,48510-87503,2507,,"48530-87503 48530-87507"
DAIHATSU,HIJET,"S60(Excl.Truck with Flat Low Deck) (Incl.Van,Panel Van)",78/02~79/09,2510,,"48510-87503 48510-87504",1123,,48530-87502
DAIHATSU,HIJET,"S60(Truck with Flat Low Deck)",78/02~79/09,2510,,"48510-87503 48510-87504",2507,,48530-87503
DAIHATSU,HIJET,"S60,All",79/09~81/03,2510,,"48510-87503 48510-87504",1123,,48530-87502
DAIHATSU,HIJET,"S65,C(Truck Panel Van) (Excl.Agricultural 12 Tire Model)",81/04~82/03,,,"48510-87505 48510-48520-87501 48520-87502",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65V(L only)(Van)",81/04~82/03,,,"48510-87507 48520-87503",1123,,48530-87508
DAIHATSU,HIJET,"S65V(STD,SDL,E)(Van)",81/04~82/03,,,"48510-87505 48510-87506 48520-87501 48520-87502",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65,C(Truck Panel Van) (Excl.Agricultural 12 Tire Model)",82/03~83/10,,,"48510-87510 48510-87511 48520-87506 48520-87507",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65V(L only)(Van)",82/03~83/10,,,"48510-87512 48520-87508",1123,,48530-87508
DAIHATSU,HIJET,"S65V(STD,SDL,E)(Van)",82/03~83/10,,,"48510-87510 48510-87511 48520-87506 48520-87507",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65(Agricultural 12 Tire Model)",83/10~84/10,,,"48510-87517 48520-87513",2504,,"48530-87511 48530-87513 48530-87514"
DAIHATSU,HIJET,"S65,C(Truck Panel Van) (Excl.Agricultural 12 Tire Model)",83/10~84/10,,,"48510-87521 48510-87522 48520-87517 48520-87518",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65V(L only)(Van)",83/10~84/10,,,"48510-87523 48520-87519",1123,,48530-87508
DAIHATSU,HIJET,"S65V(LX,Incl.Turbo)(Van)",83/10~84/10,,,"48510-80518 48520-87515",2504,,48530-87510
DAIHATSU,HIJET,"S65V(STD,SDL,E)(Van)",83/10~84/10,,,"48510-87521 48510-87522 48520-87517 48520-87518",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65(Agricultural 12 Tire Model)",84/10~86/05,,,"48510-87529 48520-87526",2504,,"48530-87511 48530-87513 48530-87514"
DAIHATSU,HIJET,"S65,C(Truck Panel Van) (Excl.Agricultural 12 Tire Model)",84/10~86/05,,,"48510-87527 48510-87528 48520-87523 48520-87524",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65V(L only)(Van)",84/10~86/05,,,"48510-87530 48520-87527",1123,,48530-87508
DAIHATSU,HIJET,"S65V(LX,Incl.Turbo)(Van)",84/10~86/05,,,"48510-87526 48520-87522",2504,,"48530-87510 48530-87511"
DAIHATSU,HIJET,"S65V(SDL with High Roof)(Van)",84/10~86/05,,,"48510-87527 48510-87528 48520-87523 48520-87524",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S65V(STD,SDL,Excl.High Roof,E)(Van)",84/10~86/05,,,"48510-87530 48520-87527",1123,,"48530-87504 48530-87505"
DAIHATSU,HIJET,"S80P,S80C",86/05~87/02,S1112,,"48510-87537 48520-87534",1199,,"48530-87505 48530-87516 48531-87517"
